Year,Country,Gold,Silver,Bronze,Total
2012,Sweden,1,4,3,8
2012,Georgia,1,2,3,6
2012,Ireland,1,1,4,6
2012,Serbia,1,1,2,4
2012,Slovenia,1,1,2,4
2012,Turkey,1,1,1,3
2012,Latvia,1,0,1,2
2012,Bulgaria,0,2,1,3
2012,Finland,0,2,1,3
2012,Slovakia,0,1,3,4
2012,Belgium,0,1,2,3
2012,Armenia,0,1,1,2
2012,Estonia,0,1,1,2
2012,Cyprus,0,1,0,1
2012,Montenegro,0,1,0,1
2012,Portugal,0,1,0,1
2012,Greece,0,0,2,2
2016,Great Britain,27,23,17,67
2016,Russia,19,17,20,56
2016,Germany,17,10,15,42
2016,France,10,18,14,42
2016,Italy,8,12,8,28
2016,Netherlands,8,7,4,19
2016,Hungary,8,3,4,15
2016,Spain,7,4,6,17
2016,Croatia,5,3,2,10
2016,Switzerland,3,2,2,7
2016,Greece,3,1,2,6
2016,Denmark,2,6,7,15
2016,Sweden,2,6,3,11
2016,Ukraine,2,5,4,11
2016,Serbia,2,4,2,8
2016,Poland,2,3,6,11
2016,Belgium,2,2,2,6
2016,Slovakia,2,2,0,4
2016,Georgia,2,1,4,7
2016,Azerbaijan,1,7,10,18
2016,Belarus,1,4,4,9
2016,Turkey,1,3,4,8
2016,Armenia,1,3,0,4
2016,Czech Republic,1,2,7,10
2016,Slovenia,1,2,1,4
2016,Romania,1,1,2,4
2016,Ireland,0,2,0,2
2016,Lithuania,0,1,3,4
2016,Bulgaria,0,1,2,3
2016,Norway,0,0,4,4
2016,Israel,0,0,2,2
2016,Austria,0,0,1,1
2016,Estonia,0,0,1,1
2016,Finland,0,0,1,1
2016,Portugal,0,0,1,1
2020,Great Britain,22,20,22,64
2020,Russia,20,28,23,71
2020,Netherlands,10,12,14,36
2020,France,10,12,11,33
2020,Germany,10,11,16,37
2020,Italy,10,10,20,40
2020,Hungary,6,7,7,20
2020,Poland,4,5,5,14
2020,Czech Republic,4,4,3,11
2020,Norway,4,2,2,8
2020,Spain,3,8,6,17
2020,Sweden,3,6,0,9
2020,Switzerland,3,4,6,13
2020,Denmark,3,4,4,11
2020,Croatia,3,3,3,9
2020,Serbia,3,1,4,8
2020,Belgium,3,1,3,7
2020,Bulgaria,3,1,2,6
2020,Slovenia,3,1,1,5
2020,Georgia,2,5,1,8
2020,Turkey,2,2,9,13
2020,Greece,2,1,1,4
2020,Ireland,2,0,2,4
2020,Israel,2,0,2,4
2020,Ukraine,1,6,12,19
2020,Belarus,1,3,3,7
2020,Romania,1,3,0,4
2020,Slovakia,1,2,1,4
2020,Austria,1,1,5,7
2020,Portugal,1,1,2,4
2020,Estonia,1,0,1,2
2020,Latvia,1,0,1,2
2020,Azerbaijan,0,3,4,7
2020,Armenia,0,2,2,4
2020,Lithuania,0,1,0,1
2020,North Macedonia,0,1,0,1
2020,Finland,0,0,2,2
2020,Moldova,0,0,1,1
2024,France,16,26,22,64
2024,Netherlands,15,7,12,34
2024,Great Britain,14,22,29,65
2024,Italy,12,13,15,40
2024,Germany,12,13,8,33
2024,Hungary,6,7,6,19
2024,Spain,5,4,9,18
2024,Sweden,4,4,3,11
2024,Norway,4,1,3,8
2024,Ireland,4,0,3,7
2024,Ukraine,3,5,4,12
2024,Romania,3,4,2,9
2024,Georgia,3,3,1,7
2024,Belgium,3,1,6,10
2024,Bulgaria,3,1,3,7
2024,Serbia,3,1,1,5
2024,Czech Republic,3,0,2,5
2024,Denmark,2,2,5,9
2024,Azerbaijan,2,2,3,7
2024,Croatia,2,2,3,7
2024,Slovenia,2,1,0,3
2024,Austria,2,0,3,5
2024,Israel,1,5,1,7
2024,Poland,1,4,5,10
2024,Switzerland,1,2,5,8
2024,Portugal,1,2,1,4
2024,Greece,1,1,6,8
2024,Turkey,0,3,5,8
2024,Armenia,0,3,1,4
2024,Lithuania,0,2,2,4
2024,Moldova,0,1,3,4
2024,Kosovo,0,1,1,2
2024,Cyprus,0,1,0,1
2024,Albania,0,0,2,2
2024,Slovakia,0,0,1,1
